sentence	target
Dość powiedzieć , że włoscy copywriterzy należą do najlepszych na świecie .	placeName
Wcale mi się nie chciało wychodzić do Niemców na niewiadome , na te roboty .	placeName
Na zastrzyki z różnych witamin B .	noEntity
Potem interesuje go władza .	noEntity
Puby zostawmy Anglikom .	placeName
KLIENT CZELADNIK - Masz rację , my się znamy .	noEntity
Szewardnadze zgubił kraj .	persName
Na pewno człowiekowi , który czuje się Żydem , w Izraelu jest sympatyczniej i łatwiej niż Żydowi w jakimkolwiek innym państwie .	placeName
Grający niemal cały czas tą samą " szóstką " torunianie wyraźnie opadli z sił .	placeName
- Mojsze , gdzie jesteś , Mojsze ?	persName
Ashanti to połączenie ośmiu klanów .	orgName
Dodajmy dla porządku , iż Natan był dzieckiem z nieprawego łoża , co nie przeszkadzało mu w snuciu najrozmaitszych domysłów na temat wspaniałości swego drzewa genealogicznego , którego korzenie najchętniej widział by w czasach biblijnych proroków .	persName
Wysoka Izbo !	orgName
– i to jest z czego z Olkusza ?	placeName
Palił em przez 25 lat , ale rzucił em w 1986 roku .	time
Indyjscy biznesmeni ( ciało z garnituru , głowa owinięta turbanem ) mówią coraz głośniej , melodyjniej .	placeName
Wywiadu udzielił niemieckiej gazecie „ Tegesspiegel ” , bo nie jest już naiwny , by ufać sPiSiałym krajowym mediom .	placeName
W naszym klimacie grudzień przynosi różne typy pogody - od silnego mrozu po nietypowe fale ciepła .	time
Odkryto wiele nadużyć .	noEntity
Oddaj !	noEntity
Później założył em SDI , z którym rozstał em się 10 . 10 .	time
Ustawa , jeżeli zostanie uchwalona w tym kształcie , nie będzie dotyczyła roszczeń Sybiraków , gdyż nie są one skutkiem decyzji nacjonalizacyjnych .	orgName
Z racji 99 % niezrozumienia jeśli Gosiu pozwlisz postaram się wyjaśnić to na priv bo to ni miejsce ni sposobność .	persName
Cały Boguszów trzęsie się z oburzenia .	placeName
Większość sądzi , że chodziło o Lebiedzia .	persName
- Zbiórkę poprzedziła akcja informacyjna , uczniowie wiedzą , na jaki dobry cel popłyną pieniądze .	noEntity
– Dinah …	persName
Wie o tym doskonale trzpiot romantyczny Gucio , w Ślubach panieńskich Fredry .	persName
Załóżmy , że w piątek właściciel punktu złożył komplet dokumentów , jeszcze tego samego dnia zebrała się Miejska Komisja ds . Profilaktyki i Rozwiązywania Problemów Alkoholowych i wydała pozytywną opinię .	orgName
Struktura organizacyjna oraz ogólne przesłanki obowiązującego systemu finansowego i ewidencji księgowej zaopatrzenia produkcji i zbytu oraz ustalania i podziału wyników finansowych w Lasach Państwowych .	orgName
ona to mają tam dom przy tym . przy przy kościele	noEntity
Takim najtańszym , gdzie krupnik jest po dwa pięćdziesiąt , a w kącie nad kubkiem kakao grzeje się zbieracz złomu o poharatanych rękach i życiorysie .	noEntity
- Czy ktoś pana prosił o zdanie , Lewin ? - zapytał chłodno Meinerer .	persName
– ale w którym którym roku ?	noEntity
Przerażony Popiel , nie umiejąc walczyć z takim nieprzyjacielem , ratował się ucieczką i z całą rodziną szukał schronienia w murowanej wieży , wznoszącej się pośród jeziora na wyspie .	persName
Przystępujemy do głosowania .	noEntity
Ja , . . . otwieram się na to , by przejawiać Boską Miłość ( lub inną cechę ) .	persName
– Na szczęście nie wykryto żadnych obrażeń wewnętrznych – wtrącił Brzozowski .	persName
Chińczycy okazali się wyjątkowo łagodni i . . . puścili wszystkich zatrzymanych wolno .	placeName
– kwestia mody wiesz . .	noEntity
W przypadku gdy europejska rada zakładowa składa się z nie więcej niż dziesięciu członków , może powierzyć prowadzenie bieżących spraw przewodniczącemu lub innemu członkowi europejskiej rady zakładowej .	orgName
- Mam to pani oddać - powiedział wręczając jej pakunek .	noEntity
– w Elektryku . .	orgName
Był to mariaż beztroskiej stylistyki filmów przedwojennych i socrealistycznych haseł .	noEntity
Ronin - to samo próbuję powiedzieć od początku .	persName
5 . W przypadku odwołania członka lub jego śmierci powołuje się nowego członka Komisji na zasadach określonych w ust . 2 .	orgName
Nie mam wyboru , pomyślał Tadeusz .	persName
Wielka Brytania nie planuje wprowadzenia wiz dla Polaków - podano we wtorek wieczorem w Londynie .	placeName
CKM : Czyli , jak powiedział pewien poseł , rżnąć głupa ?	orgName
Żydowscy piekarze na święta . więc oczywiście były wszystkie świąteczne smakołyki .	placeName
Profesor uniwersytetu , przewodniczący związku dziennikarzy , prawnik , twórca nagradzanych filmów dokumentalnych - słowem : białoruska elita w Białymstoku .	placeName
Do walki z mafią stanie „ superpolicja " , która powstanie z połączenia działów walki z narkotykami , przestępczością zorganizowaną oraz gospodarczą .	noEntity
Urzędnicy boją się go tak bardzo , że gdy dziennikarze Radia Zet dzwonią do nich w bardzo typowych sprawach , na wszelki wypadek rzucają słuchawkę .	orgName
W kieleckim parku miejskim przez cały dzień można było zobaczyć wojsko od kuchni : wejść do specjalistycznych wojskowych pojazdów ( a także policyjnych i strażackich ) , obejrzeć sprzęt saperów , łącznościowców oraz żołnierzy badających skażenie chemiczne .	placeName
I chyba o to chodzi .	noEntity
no i jest cały biedny bo . y chciał by kupić beczkę spirytusu żeby jakoś zacząć . .	noEntity
Przybliżony całkowity koszt inwestycji według cen w 1998 roku wynosi około 3 bln ( starych ) zł .	time
Siedziba sądu w Jeleniej Górze .	placeName
ŻYWIEC , MILÓWKA .	placeName
Robimy przeciąg i rozbieramy się .	noEntity
W tym tygodniu w obu krajach zatrzymano 29 osób zamieszanych w handel ludźmi i uwolniono 113 Polaków niewolników .	placeName
Karkonosze .	geogName
- Nieźle to pomyślał eś - powiedziała .	noEntity
Szukał - jak wielu innych - roboty .	noEntity
– O , kurde ! – powtórzył em inteligentnie .	noEntity
– a w siedemdziesiątych latach jakie były płace .	time
Polacy startowali na samolotach PZL-104 " Wilga " .	placeName
- Lepsi to już byli .	noEntity
Pewien mieszkaniec Starogardu korzystając z aukcji internetowej kupił telefon komórkowy Nokia N 80 .	placeName
Osiełek pochylił się i popędził ; czuł za sobą blask latarki i piszczący , wściekły oddech sekretarza policji ; pędząc wymachiwał rękami ; pięty niemal uderzały w pośladki .	persName
Jego stopień oficerski został zweryfikowany , a on sam miał osobiste przyrzeczenie Dowódcy Armii , że jakiś przydział w wojsku dostanie .	orgName
Poddając ostrej krytyce projekty finansowe rządu Biuro podkreśla , że uchwalenie budżetu przez globalne głosowanie nad całokształtem budżetów poszczególnych ministerstw podyktowane jest chęcią ukrycia znacznej części wydatków wojskowych i zamaskowania olbrzymich kosztów polityki wojennej .	noEntity
Co w negocjacjach AWS z UW jest sporne dla posłów Akcji ?	orgName
Czy KK nie popiera WOŚP ?	orgName
Takie wyjaśnienie przyczyn katastrofy podało ministerstwo spraw wewnętrznych Dolnej Saksonii .	placeName
Po spotkaniu w stoczni prezydium OKP spotkało się na obradach .	orgName
Zdaniem prezydenta Mirosława Lenka to lepsze rozwiązanie niż wytyczanie ścieżek po drogach transportu rolniczego , które w okresie intensywnych prac polowych są po prostu nieprzejezdne z powodu zniszczeń , jakie powoduje ciężki sprzęt .	persName
Na pierwszy rzut oka trudno było by zauważyć , że wyszły spod pędzli i ołówków początkujących artystów .	noEntity
Powiedziano mu : państwo - w Nizzy , kiedy wrócą - nie wiemy .	placeName
3-miesięczny chłopczyk z ciężkimi obrażeniami głowy i pęknięciem czaszki trafił do wrocławskiego szpitala .	placeName
– jakiego Niemca ?	placeName
Z aparatu USG korzystało mnóstwo pacjentów .	noEntity
Z Piotrkiem , od kilku lat związanym z gangami samochodowymi , spotykam się w pubie .	persName
Pani Doroto ! - pytamy .	persName
Robisz " pan " w budżetówce ?	noEntity
dziś oglądał em : " Ostatniego króla Szkocji " i " W pogoni za szczęściem " . .	geogName
- Powtarzał , że nikt nie pamięta ministra żeglugi , u którego pracował Maupassant .	persName
- Sami jesteście kaczki !	noEntity
- Proszę zwrócić uwagę na to , że ta ustawa – to jest może bardzo dziwne – wprowadza również samoinformowanie dystrybutora o produkcie niebezpiecznym , a to znaczy , że gdy on sam to wykryje i wie , że produkt , który dystrybuuje , bądź produkt , który posiada , jest niebezpieczny , powinien to zgłosić do tak zwanej bazy danych , do Urzędu Ochrony Konkurencji i Konsumenta .	orgName
Ołomuniec - manifestacja , a potem zmiana nazwy domu akademickiego .	placeName
Aneta pochodzi z domu byłych gospodarzy .	persName
Miał być pokaz sprawności , przełom , moralna odnowa , słowem - IV Rzeczpospolita .	orgName
O kim szepczą w " S " ?	orgName
Zdaniem weterynarzy odgłos wybuchów petard i sztucznych ogni wzbudza u przeważającej większości psów paniczny lęk , a około 30 procent wpędza wręcz w chorobę psychiczną .	noEntity
- Jeśli nie usłyszę sprzeciwu , będę uważał , że Sejm propozycję przyjął .	orgName
Chodziło oczywiście o kontakty ściśle naukowe , ale umożliwiły one później wysłanie jezuity , astronoma , do Chin .	placeName
Dzisiaj staje się modne podkreślanie żydowskości w postaci i zachowaniu Jezusa .	persName
PO nie przedstawiła żadnego sensownego uzasadnienia dla takiej zmiany .	orgName
- Jak zowią tego baru ? - zapytał Obeda .	persName
Nazwę ją : " Zima " .	noEntity
Nie brakuje natomiast menedżerów , pracujących - podobnie jak Indusi - w wielu renomowanych firmach na świecie .	placeName
Po raz pierwszy wezmą w nim udział artyści z Mołdawii , Rosji , Ukrainy i Czech .	placeName
- Jestem sługą Jezusa .	persName
I tu nie może być zgody .	noEntity
Tymczasem w liceach prowadzonych przez Społeczne Towarzystwo Oświatowe zdanie egzaminu dojrzałości nie należy do najłatwiejszych .	orgName
Oglądał em " Wywiad z Vampirem " gdzie gościem byl Cejrowski .	persName
– w Mel Rozie była ś ?	geogName
- To co z tym kinem ? - Monika odłożyła miseczkę po lodach na podłogę .	persName
I dla świata i dla nas samych fakt , że żyjemy , stanowi oczywisty dowód tego , że i Polska żyje .	placeName
Jedyną nadzieją mogło być porwanie w drodze pomiędzy Kodniem i Łuckiem .	placeName
– i miała by m kabrioleta tam . ośmio dziewięcioletniego . tylko Wojtek mówi	persName
Przyjechał do Australii , krótko po zakończeniu drugiej wojny światowej , walczyć z krokodylami .	placeName
- Musiała m .	noEntity
Polski nie stać na płacenie za naukę za granicą .	orgName
Po zdobyciu drugiego gola kielczanie kontrolowali przebieg gry .	placeName
W prokuraturze dowiedzieli śmy się , dlaczego warszawscy specjaliści skłaniają się ku podpaleniu : deski w miejscu pierwszych płomieni były - ich zdaniem - zbyt grube , by mogły się zająć np . od niedopałka .	placeName
W Wadowicach przekazane zostaną mieszkania " pod klucz " , wyposażone m. in . w kuchenkę gazową , piecyki gazowe .	placeName
Pobiegł kilkanaście metrów wzdłuż ulicy i upadł na pobliskiej łące .	noEntity
W miniony poniedziałek również doszło do zaprószenia ognia w jednym z części poddaszy tucholskiego budynku dworca .	placeName
- Nie zrobisz tego .	noEntity
Na dziedzińcu stał taki sam kolorowy tłum , rozgadany , tutejsi , biali i Japończycy , wszyscy na coś czekali .	placeName
- Może nie mają broni , ale kto później będzie kontrolował towary , które do Gazy przybędą morzem ?	placeName
– no no .	noEntity
Później był jeszcze Pewex .	orgName
W przygotowaniach do przyszłotygodniowych koncertów eliminacyjnych bierze udział prawie setka dzieci i młodzieży z Polski i ( po raz pierwszy ) Niemiec .	placeName
– Czy można cię prosić do tańca ?	noEntity
Znacznie droższe są olejne pejzaże ( 80000 - 130000 zł ) .	noEntity
Czy rozumiem , co właściwie ciągnie mnie na grób Piotra ?	persName
– przy czym taki Chińczyk usiądzie za akordeonem to go nie widać nie ?	placeName
KOCIAK Zostawisz mnie ?	persName
- Potem ustawisz .	noEntity
Ciekawe , co by powiedziały " autorytety moralne " środowiska czwartej władzy , gdyby zaproponować jawne rejestry dziennikarskich korzyści ?	noEntity
Ręce opadają jak się czyta niektóre posty	noEntity
Koledzy z zasadniczej górniczej patrzyli w niebo i czekali .	noEntity
Jeszcze jeden fakt warto sobie uzmysłowić : w branży rybnej pracuje u nas ( poza siecią handlu ) ok . 35 tys . osób - czyli , że na każdego przypada ponad 8 ton gotowych produktów rynkowych rocznie .	noEntity
CKM : Szkło pęka , a ludzie chowają się po kątach ?	orgName
Pozdrowienia , 16 : 21 , 19 lis 2005 ( CET )	time
Tak więc los człowieka - warunki przebywania w areszcie , śledztwo , zeznania świadków , a nawet obrona - znajduje się w tych samych rękach , w rękach FSB .	orgName
Od osiemnastego wieku poczynając , zwróciła się otwarcie przeciwko swoim chrześcijańskim źródłom .	time
Kto jest przeciw ?	noEntity
Odłożył słuchawkę radiotelefonu i kazał się wieźć do sklepu Spawacza .	persName
W tym stanie rzeczy zasadnym jest wniosek , że w dniu 25 marca 1957 r . podpisano czyste kartki papieru , a nie umowę międzynarodową niosącą skutki prawne .	time
Problemem , któremu poświęcony jest ten artykuł , nie jest jednak ani zjednoczenie Europy ani partnership atlantycki .	geogName
chodzi po prostu o to . że cztery piąte Polaków mówi uciekajmy stamtąd .	placeName
– do dwunastej w południe ?	time
Bieżeńcy w 82 proc . składali się z Żydów .	placeName
Jej losy do końca były niepewne , gdyż budziła ona sprzeciw kardynałów z krajów arabskich .	placeName
- We wnioskach NIK nie ma o tym ani słowa - przypomina wiceminister pracy .	orgName
– nie dość że grzywka bo ja muszę oddzielnie czesać to .	noEntity
Kto z pań posłanek i panów posłów jest za przyjęciem w całości projektu rezolucji w sprawie przeciwdziałania bezrobociu wśród młodzieży , w brzmieniu proponowanym w druku nr 789 , zechce podnieść rękę i nacisnąć przycisk .	noEntity
2b . Minister właściwy do spraw instytucji finansowych , po zasięgnięciu opinii Prezesa NBP , określa , w drodze rozporządzenia , sposób , zakres i terminy realizacji obowiązku , o którym mowa w ust . 2a , kierując się potrzebą zapewnienia NBP dostępu do informacji niezbędnych do wykonywania jego obowiązków wynikających z ustawy oraz odrębnych przepisów .	orgName
Już raczej ustawa o tworzeniu prawa ma większy sens , np . gdyby zobowiązała rząd do kierowania wszystkich projektów ustaw do Rządowego Centrum Legislacji , a odstępstwo od takiego trybu wymagało by odpowiednio uzasadnionej odrębnej decyzji .	orgName
– i grobowiec Piastów jak otwierali czy Jagiellonów to też poumierali wszyscy	persName
Cała ta informatyzacja i moda na komputery osobiste nie ma , zdaniem autora , najmniejszego racjonalnego sensu , w związku z czym kryzys jest jak najbardziej uzasadniony i wróży , że w latach dziewięćdziesiątych nic się nie zmieni .	time
Słyszę , jak Lidia dalej mówi o tym Janku … znowu jest przy jego urodzie … znowu … potem , że płakała .	persName
25 % Polaków opowiada się za nałożeniem tej powinności przede wszystkim na rodziców .	placeName
Wiceprokurator Rzymu zagroził , że producentki filmu i odpowiedzialni za jego emisję szefowie telewizji zostaną oskarżeni o naruszanie życia prywatnego i działanie na rzecz prostytucji , co może pociągnąć kary więzienia , nawet do 4 lat . . .	placeName
Nasyciwszy się trochę , dusze ponownie , i tym razem definitywnie zrzucają ciała i udają się do wyższego gan Eden , w którym zażywać już będą jedynie duchowych rozkoszy .	geogName
Myślę , że już południe . . .	time
I upiorną rodzinkę z rysunków pana Addamsa .	persName
Praktyka akademicka proponuje formalizm zamiast przeżywania tekstu świata .	noEntity
- Kto jest przeciw ?	noEntity
Faktycznie później Niemcy wkroczyli na tą piekielną drogę , ale konsekwentnie zastosowali ją dopiero w stosunku do Żydów .	placeName
OBIAD - płacić za obiad - zostaniesz zaproszony na przyjęcie .	noEntity
Z Hali Gąsienicowej 1,5 godz . , 4 km , 670 m różnicy wysokości .	geogName
Powyższe wskazuje , w jak szerokim pasie jest niebezpieczny śrut przy strzale na dalszą odległość , np . w czasie polowania na kuropatwy .	noEntity
Prezydent Stachowicz mówił o terminie dwumiesięcznym .	persName
Jeżeli warunek ten nie jest spełniony , fala wód zretencjonowanych na powierzchni osiąga lokalną bazę drenażu zatrzymując się w najgłębszym zagłębieniu , kończąc tym samym proces transformacji na trzeciej fazie .	noEntity
W sierpniu były o prawie półtora miliona ton wyższe niż przed rokiem .	time
Nieoficjalnie mówi się , że chodzi o kilkanaście milionów złotych .	noEntity
Kloss patrzył na ulicę .	persName
- Popatrzmy , co stało się z buntownikami z lat 60 .	time
Dlaczego „ obrońcy życia ” , których wizyta holenderskiego stateczku wprawiła w histerię , ignorują kwitnący w Polsce biznes aborcyjny ?	placeName
Niechłodzone obszary ściany bocznej wykonywane są podobnie jak trzon .	noEntity
– no i i właśnie ktoś tam powiedział no co podobno tam zażartował sobie ktoś z Polaków .	placeName
Umówili śmy się , że zaczniemy się spotykać wiosną 2006 roku .	time
To bardzo trudno , używać poezji do opisu rzeczy , które się naprawdę zdarzyły .	noEntity
4 . Ilu Irlandczyków trzeba do wkręcenia żarówki ?	placeName
Spełnienie tego drugiego oznaczało by w najlepszym wypadku powrót do liczby miejsc na studiach z 1989 roku , czyli ich zmniejszenia o ponad połowę , a więc utrudnienie dostępu do nich setkom tysięcy kandydatów .	time
Przyszła Stasi : - Pani złamała nakaz milczenia , pani jest wrogiem państwa , wyciągniemy konsekwencje .	orgName
W chwili kiedy Julia wypowiedziała te słowa , dla Andrew zatrzymał się czas .	persName
Prawda o zmartwychwstaniu Jezusa jest fundamentem naszej wiary .	persName
Maj .	time
Gra rolę Cesi .	persName
Nietrzeźwy poszkodowany miał pecha .	noEntity
Armia płaci co roku gminie podatek gruntowy , ale zdaniem wiceburmistrza Zenona Rzęsy to za mało .	persName
Udział z grupowaniu zadeklarowało ponad 300 karateków z całej Polski .	placeName
Ręce do tyłu .	noEntity
Ci z AWS .	orgName
Po południu w redakcji był Geremek .	persName
– słuchaj w ogóle dzisiaj opcji .	noEntity
Osoby , które nie otrzymały kart kibica i po mundialu nie są im już one potrzebne , powinny napisać pismo do PZPN , w którym - bardzo grzecznie - poproszą o zwrot pieniędzy .	orgName
Jerzy zdał obszerną relację z podróży .	persName
Figurują tam tylko rozmaite opłaty targowe i celne .	noEntity
" Poema gotowe do skoku " Stanisława Jerzego Leca ( str . 60 , zł 10 ) to tomik nowych wierszy znanego poety i satyryka , autora popularnych " Myśli nieuczesanych " oraz wydanych w ostatnich latach zbiorów " Do Abla i Kaina " i " List gończy " .	persName
– nie ja wrócę drugiego	time
Teraz może być już tylko coraz lepiej .	noEntity
Takie połączenie opowieści z dialogiem w formie dysputy filozoficznej , roztrząsającej różne zagadnienia moralne , było jednak znane od dawna w szkołach literackich starożytnego Bliskiego Wschodu .	geogName
Może do nas przyjdą .	noEntity
Czym była by Czarna Wieś Kościelna bez tej gliny ?	placeName
Wysoka Izbo !	orgName
Tak się zdarzyło w Charkowie .	placeName
O jego wadliwym funkcjonowaniu mówił radny Piotr Mówiński .	persName
Efektowne uderzenie , bez najmniejszej wątpliwości lepsze od niemieckiego Blitzkrieg'u , wspaniałe .	placeName
I taka właśnie ma zostać .	noEntity
1 . PKP SA wniesie do spółek , o których mowa w art . 14 i 15 , określone uchwałą Walnego Zgromadzenia PKP SA wkłady niepieniężne w postaci zespołu składników materialnych i niematerialnych wyodrębnionych z jej przedsiębiorstwa , niezbędnych do prowadzenia działalności w zakresie określonym w art . 14 ust . 1 i art . 15 ust . 1 , oraz wkłady pieniężne .	orgName
Jak Rusek albo Ukrainiec .	placeName
Kiedy zaczął em drążyć temat , Ty piszesz teraz o offtopie . . .	noEntity
- Bartek !	persName
– a tabletki mi się skończyły . .	noEntity
– mobilizacją	noEntity
Rozdzielali zwaśnione strony w ramach misji pokojowych ONZ .	orgName
Amerykanie widzą swój kraj w dobrym świetle - są dumni , patriotyczni , przekonani , że żyją w Nowym Wspaniałym Świecie .	placeName
On nie był Polakiem ?	placeName
Chciał em , żeby skomentował , coś odpowiedział .	noEntity
Przy organizacji imprezy masowej , w której uczestniczy ok . 2 tys . osób , niezbędne są m.in . zezwolenia z Urzędu Miasta , policji i straży pożarnej .	orgName
Nic , a tu podwójnie ich trafiło - opowiada Paweł .	persName
Orzechowe oczy garncarza wpatrzyły się badawczo w twarz Kaliasa .	persName
Zrobili śmy zakupy .	noEntity
- To do kogo chodzić ? - wypytywały doktora Monczaka panie z sali .	persName
– tak .	noEntity
Wszystkie pieniądze z aukcji zostaną przeznaczone na budowę nowego oddziału przeszczepowego dla dzieci z białaczką przy szpitalu w Poznaniu .	placeName
Gdyby przypuszczenia się potwierdziły , w przyszłym tygodniu zostaną złożone w prokuraturze zawiadomienia o popełnieniu przestępstwa - zapowiedział Dorn .	persName
Prawdziwy benedyktyn powiedział by : oto jestem , stoję przed Tobą .	orgName
Kiedy sytuacja nie zmieniła się przez ponad miesiąc , zainteresowani zaczęli zastanawiać się , czy przedsiębiorstwo D . w ogóle istnieje .	orgName
Mariola ( z dwulatkiem na rękach ) : - Ja chętnie wysłała by m tam swojego maluszka .	persName
Mając podwójne finansowanie i stosując obniżki cen , może stać się monopolistą na rynku reklam .	noEntity
Na festiwalu filmów animowanych Kan Kluay w tajlandzkim mieście Ayuthaya większość widowni stanowią . . . słonie .	placeName
Myszkin zdążył już odwołać swoją gwardię i urzędował za stołem razem z Legendą , rozlewając wódkę .	persName
Jeśli podróże i balowanie - to już było .	noEntity
Rozpowszechnił em już 200 tysięcy egzemplarzy nowenny w całej Europie .	geogName
– były u Wojtka buciory . ale kurcze . po pierwsze że było późno już .	persName
Stwierdzam , że Sejm poprawkę przyjął .	orgName
W Małopolskę i Śląsk wbito kilka czerwonych chorągiewek .	geogName
Tutaj zamiast kanapy mógł by być łagier , za łazienką Auschwitz , a ja spreparowana w słoiku .	geogName
Jak widać z powyższych danych liczbowych , związkowcy nie dominują w Sejmie , ich obecność jest jednak jak najbardziej zrozumiała .	orgName
Związkowcy podkreślili jednak , że mają gwarancje ministra w sprawie modelu PKP i przyszłych przekształceń kolei oraz dalszych rozmów z nimi .	orgName
– jakiego bankruta ?	noEntity
Niestety , w końcu przestała przychodzić , bo dzieci ( miała dwie córki i syna ) położyły kres szmuglerskiej działalności matki .	noEntity
Ta nieśmiała dziewczynka , z której do dziś pozostał wielki głos i spojrzenie uwiecznione na starych zdjęciach , była zapewne ostatnim romantycznym mitem życia nierozerwalnie splecionego z pracą artysty i zapewne ostatnim wielkim mitem Francji , bo po nim zapanowały już tylko mitologie codzienności .	placeName
Nie wierzę w pocztę , jeszcze niesprawnie działa , daję ten list korespondentowi z Wiednia , który dziś odjeżdża , bo u nas nie dzieje się nic niezwykłego .	placeName
Krzysiek musiał wziąć kredyt z banku .	persName
Jak tylko przyjechali śmy do Polski , zaczęli śmy montować to , co nakręcili śmy .	placeName
- Panie Marszałku !	noEntity
ja , który śpię , kiedy otello morduje desdemonę , czuję , jak mi się nogi przerażone trzęsą , gdy na rogu , otoczony gawiedzią , zdycha ślepy , zajeżdżony koń .	persName
Pierwszy Burling dał znak , że posiłek skończony , prosząc wszystkich o pozwolenie " powąchania tytoniu " , jak mówił o zażyciu tabaki .	persName
Uniemożliwiła mu to bardzo ofensywna postawa Raftera .	persName
Natomiast tworzy się służby , których istnienie rozmydla odpowiedzialność za Bezpieczeństwo Ruchu Drogowego w Polsce .	placeName
Jerzy wyciągał z lodówki po kawałku kiełbasy , stawiał na stole słoik z ogórkami , które ona kisiła .	persName
Ten młody człowiek zna miarę i obowiązek !	noEntity
- Moje miejsce jest tutaj - mówił w 1993 r .	time
Wtedy można obniżyć koszty - twierdzi Zofia Staśkiewicz .	persName
Amfetaminę wartą ponad pół miliona złotych mogli produkować każdego dnia gangsterzy w nielegalnym laboratorium w Kątach Węgierskich pod Legionowem .	placeName
Przez najbliższe 6 - 8 miesięcy Siemens nie planuje w fabrykach większych zmian - ma to być czas na znalezienie zakładom nowych produktów .	orgName
Sejm debatował wczoraj nad abolicją podatkową i deklaracjami majątkowymi .	orgName
Pragnąc się popisać odwagą , podszedł do ryczącego Palmiaka z zamiarem uspokojenia go , ale w tej samej chwili odskoczył od niego i runął na kredens .	persName
nie mieli by pojęcia i nie chcieli by świętować . pierwszego maja tylko zupełnie inaczej w nowoczesny sposób dzisiaj rozumianego .	time
To prawda , że chrześcijaństwo zrodziło się i rosło w konflikcie z Cesarstwem .	orgName
Dostawy maszyn radzieckich uchronią Czechosłowację przed licznymi trudnościami na jakie ona napotykała w przeszłości w pewnych krajach kapitalistycznych , które w stosunkach handlowych uciekały się do stosowania metod dyskryminacyjnych .	placeName
Lothar trochę majaczył , miał wysoką gorączkę .	persName
- Nie zastanawiała m się nad tym - odparła Alicja , nieco zbulwersowana pytaniem .	persName
tam gdzie jest ścieżka zdrowia	noEntity
2 . 20 zwrócił się do mnie słowami - " mnie nie ma , mnie już nie ma " .	time
W wyjątkowy sposób podziałały na Martę , bo odczuła napływającą i ogarniającą ją ogromną falę miłości do dzieci i do całego otoczenia .	persName
Spotykamy się nad Zalewem w sobotę .	geogName
" Dom " : Czy Instytut współpracuje z handlem ?	orgName
– wiesz co bo on nie aparat sobie teraz kupił i zdjęcia robi	noEntity
Przemiany w naszych krajach pozwoliły nam na wzięcie udziału w procesie rozszerzania Unii .	orgName
Stanowi to aż 40 proc . wszystkich aut , które za granicą zniknęły niemieckim turystom .	placeName
W Jerozolimie ludzie dyskutują .	placeName
2 . Na słowie harcerza polegaj jak na Zawiszy .	persName
Mam nadzieję , że szyici iraccy dogadają się między sobą i nie pozwolą się nikomu zdominować .	placeName
Nie było łatwo świadomie się tego wszystkiego wyrzekać i zachować poczucie , że nie składam żadnej ofiary , że po prostu zachowuję się tak , jak powinien em .	noEntity
Banał .	noEntity
SABA : Nie wiem .	persName
Widziała m go wyraźnie w blasku gwiazd .	noEntity
Przyszedł czas wyjazdu do Sistema Cheve - najgłębszej jaskini na półkuli zachodniej .	geogName
– o tutaj Krzychu zaraz coś wymyśli . .	persName
